State,Year,Value
Rajasthan,1996-97,10964
Tamil Nadu,1996-97,15402
Uttar Pradesh,1996-97,23017
West Bengal,1996-97,13032
Arunachal Pradesh,1996-97,891
Assam,1996-97,4267
Himachal Pradesh,1996-97,2633
Jammu and Kashmir,1996-97,4021
Manipur,1996-97,1014
Meghalaya,1996-97,785
Mizoram,1996-97,810
Nagaland,1996-97,1096
Sikkim,1996-97,1241
Tripura,1996-97,1179
Uttarakhand,1996-97,–
NCT Delhi,1996-97,3515
Puducherry,1996-97,–
Andhra Pradesh,1997-98,17745
Bihar,1997-98,10216
Chhattisgarh,1997-98,–
Goa,1997-98,1270
Gujarat,1997-98,14875
Haryana,1997-98,7806
Jharkhand,1997-98,–
Karnataka,1997-98,12601
Kerala,1997-98,9818
Madhya Pradesh,1997-98,14225
Maharashtra,1997-98,27675
Orissa,1997-98,6854
Punjab,1997-98,9472
Rajasthan,1997-98,12685
Tamil Nadu,1997-98,17333
Uttar Pradesh,1997-98,26626
West Bengal,1997-98,13557
Arunachal Pradesh,1997-98,972
Assam,1997-98,5022
Himachal Pradesh,1997-98,3453
Jammu and Kashmir,1997-98,4893
Manipur,1997-98,1133
Meghalaya,1997-98,851
Mizoram,1997-98,870
Nagaland,1997-98,1230
Sikkim,1997-98,1394
Tripura,1997-98,1350
Uttarakhand,1997-98,–
NCT Delhi,1997-98,4211
Puducherry,1997-98,–
Andhra Pradesh,1998-99,21958
Bihar,1998-99,12171
Chhattisgarh,1998-99,–
Goa,1998-99,1458
Gujarat,1998-99,19172
Haryana,1998-99,8581
Jharkhand,1998-99,–
Karnataka,1998-99,14886
Kerala,1998-99,10611
Madhya Pradesh,1998-99,15968
Maharashtra,1998-99,30317
Orissa,1998-99,8642
Punjab,1998-99,10963
Rajasthan,1998-99,14314
Tamil Nadu,1998-99,19880
Uttar Pradesh,1998-99,31462
West Bengal,1998-99,17153
Arunachal Pradesh,1998-99,1004
Assam,1998-99,5204
Himachal Pradesh,1998-99,4167
Jammu and Kashmir,1998-99,5849
Manipur,1998-99,1116
Meghalaya,1998-99,1008
Mizoram,1998-99,893
Nagaland,1998-99,1491
Sikkim,1998-99,1621
Tripura,1998-99,1531
Uttarakhand,1998-99,–
NCT Delhi,1998-99,4943
Puducherry,1998-99,–
Andhra Pradesh,1999-00,22767
Bihar,1999-00,19548
Chhattisgarh,1999-00,–
Goa,1999-00,1614
Gujarat,1999-00,21466
Haryana,1999-00,8359
Jharkhand,1999-00,–
Karnataka,1999-00,17818
Kerala,1999-00,12900
Madhya Pradesh,1999-00,17957
Maharashtra,1999-00,38244
Orissa,1999-00,10120
Punjab,1999-00,11980
Rajasthan,1999-00,16256
Tamil Nadu,1999-00,22627
Uttar Pradesh,1999-00,34615
West Bengal,1999-00,22677
Arunachal Pradesh,1999-00,1098
Assam,1999-00,7086
Himachal Pradesh,1999-00,4714
Jammu and Kashmir,1999-00,7108
Manipur,1999-00,1780
Meghalaya,1999-00,1195
Mizoram,1999-00,1161
Nagaland,1999-00,1495
Sikkim,1999-00,1620
Tripura,1999-00,1773
Uttarakhand,1999-00,–
NCT Delhi,1999-00,5912
Puducherry,1999-00,–
Andhra Pradesh,2000-01,28119
Bihar,2000-01,16946
Chhattisgarh,2000-01,1917
Goa,2000-01,1962
Gujarat,2000-01,27175
Haryana,2000-01,9159
Jharkhand,2000-01,–
Karnataka,2000-01,19664
Kerala,2000-01,13149
Madhya Pradesh,2000-01,16924
Maharashtra,2000-01,42208
Orissa,2000-01,11047
Punjab,2000-01,14111
Rajasthan,2000-01,17494
Tamil Nadu,2000-01,24437
Uttar Pradesh,2000-01,36681
West Bengal,2000-01,26741
Arunachal Pradesh,2000-01,1206
Assam,2000-01,7631
Himachal Pradesh,2000-01,5315
Jammu and Kashmir,2000-01,7829
Manipur,2000-01,1381
Meghalaya,2000-01,1424
Mizoram,2000-01,1288
Nagaland,2000-01,1835
Sikkim,2000-01,947
Tripura,2000-01,2135
Uttarakhand,2000-01,1110
NCT Delhi,2000-01,7362
Puducherry,2000-01,–
Andhra Pradesh,2001-02,31074
Bihar,2001-02,14869
Chhattisgarh,2001-02,5624
Goa,2001-02,2353
Gujarat,2001-02,25651
Haryana,2001-02,10728
Jharkhand,2001-02,7934
Karnataka,2001-02,21938
Kerala,2001-02,13132
Madhya Pradesh,2001-02,16960
Maharashtra,2001-02,42480
Orissa,2001-02,12065
Punjab,2001-02,15692
Rajasthan,2001-02,18995
Tamil Nadu,2001-02,24818
Uttar Pradesh,2001-02,38104
West Bengal,2001-02,28079
Arunachal Pradesh,2001-02,1381
Assam,2001-02,8550
Himachal Pradesh,2001-02,5670
Jammu and Kashmir,2001-02,8050
Manipur,2001-02,2117
Meghalaya,2001-02,1395
Mizoram,2001-02,1334
Nagaland,2001-02,2019
Sikkim,2001-02,1909
Tripura,2001-02,2466
Uttarakhand,2001-02,3298
NCT Delhi,2001-02,8631
Puducherry,2001-02,–
Andhra Pradesh,2002-03,34373
Bihar,2002-03,17752
Chhattisgarh,2002-03,6822
Goa,2002-03,2401
Gujarat,2002-03,26921
Haryana,2002-03,10582
Jharkhand,2002-03,9809
Karnataka,2002-03,24074
Kerala,2002-03,16967
Madhya Pradesh,2002-03,18989
Maharashtra,2002-03,47217
Orissa,2002-03,13267
Punjab,2002-03,17337
Rajasthan,2002-03,21542
Tamil Nadu,2002-03,30156
Uttar Pradesh,2002-03,42086
West Bengal,2002-03,27716
Arunachal Pradesh,2002-03,1363
Assam,2002-03,8936
Himachal Pradesh,2002-03,6616
Jammu and Kashmir,2002-03,8738
Manipur,2002-03,2157
Meghalaya,2002-03,1589
Mizoram,2002-03,1405
Nagaland,2002-03,1917
Sikkim,2002-03,2132
Tripura,2002-03,2537
Uttarakhand,2002-03,4848
NCT Delhi,2002-03,10214
Puducherry,2002-03,–
Andhra Pradesh,2003-04,40120
Bihar,2003-04,19134
Chhattisgarh,2003-04,8951
Goa,2003-04,2416
Gujarat,2003-04,32986
Haryana,2003-04,15122
Jharkhand,2003-04,9738
Karnataka,2003-04,29267
Kerala,2003-04,19769
Madhya Pradesh,2003-04,23923
Maharashtra,2003-04,61034
Orissa,2003-04,15565
Punjab,2003-04,20335
Rajasthan,2003-04,25869
Tamil Nadu,2003-04,33765
Uttar Pradesh,2003-04,69441
West Bengal,2003-04,38421
Arunachal Pradesh,2003-04,2192
Assam,2003-04,10596
Himachal Pradesh,2003-04,8096
Jammu and Kashmir,2003-04,8817
Manipur,2003-04,2320
Meghalaya,2003-04,1770
Mizoram,2003-04,1826
Nagaland,2003-04,2384
Sikkim,2003-04,1477
Tripura,2003-04,2764
Uttarakhand,2003-04,6206
NCT Delhi,2003-04,11720
Puducherry,2003-04,–
Andhra Pradesh,2004-05,47153
Bihar,2004-05,20055
Chhattisgarh,2004-05,9647
Goa,2004-05,2541
Gujarat,2004-05,34900
Haryana,2004-05,14442
Jharkhand,2004-05,11635
Karnataka,2004-05,34246
Kerala,2004-05,20276
Madhya Pradesh,2004-05,29413
Maharashtra,2004-05,72668
Orissa,2004-05,15886
Punjab,2004-05,20994
Rajasthan,2004-05,28907
Tamil Nadu,2004-05,41780
Uttar Pradesh,2004-05,59124
West Bengal,2004-05,33494
Arunachal Pradesh,2004-05,2085
Assam,2004-05,14745
Himachal Pradesh,2004-05,8034
Jammu and Kashmir,2004-05,11127
Manipur,2004-05,2600
Meghalaya,2004-05,2070
Mizoram,2004-05,1817
Nagaland,2004-05,2276
Sikkim,2004-05,2161
Tripura,2004-05,2984
Uttarakhand,2004-05,6366
NCT Delhi,2004-05,12875
Puducherry,2004-05,–
Andhra Pradesh,2005-06,48306
Bihar,2005-06,22568
Chhattisgarh,2005-06,9725
Goa,2005-06,2849
Gujarat,2005-06,34235
Haryana,2005-06,14830
Jharkhand,2005-06,13417
Karnataka,2005-06,34973
Kerala,2005-06,21115
Madhya Pradesh,2005-06,28975
Maharashtra,2005-06,68677
Orissa,2005-06,15746
Punjab,2005-06,20453
Rajasthan,2005-06,27220
Tamil Nadu,2005-06,38744
Uttar Pradesh,2005-06,59839
West Bengal,2005-06,40587
Arunachal Pradesh,2005-06,2437
Assam,2005-06,12088
Himachal Pradesh,2005-06,8587
Jammu and Kashmir,2005-06,13467
Manipur,2005-06,2743
Meghalaya,2005-06,2008
Mizoram,2005-06,2172
Nagaland,2005-06,2809
Sikkim,2005-06,2146
Tripura,2005-06,3301
Uttarakhand,2005-06,7664
NCT Delhi,2005-06,11142
Puducherry,2005-06,2173
Andhra Pradesh,2006-07,56648
Bihar,2006-07,27136
Chhattisgarh,2006-07,11991
Goa,2006-07,3176
Gujarat,2006-07,39200
Haryana,2006-07,19638
Jharkhand,2006-07,15726
Karnataka,2006-07,44085
Kerala,2006-07,23159
Madhya Pradesh,2006-07,30217
Maharashtra,2006-07,75841
Orissa,2006-07,19346
Punjab,2006-07,26297
Rajasthan,2006-07,31856
Tamil Nadu,2006-07,51147
Uttar Pradesh,2006-07,74983
West Bengal,2006-07,41203
Arunachal Pradesh,2006-07,2786
Assam,2006-07,13485
Himachal Pradesh,2006-07,10091
Jammu and Kashmir,2006-07,13873
Manipur,2006-07,3626
Meghalaya,2006-07,2320
Mizoram,2006-07,2295
Nagaland,2006-07,3085
Sikkim,2006-07,2253
Tripura,2006-07,3301
Uttarakhand,2006-07,8516
NCT Delhi,2006-07,12966
Puducherry,2006-07,2387
Andhra Pradesh,2007-08,74875
Bihar,2007-08,31573
Chhattisgarh,2007-08,15029
Goa,2007-08,3559
Gujarat,2007-08,42681
Haryana,2007-08,22079
Jharkhand,2007-08,18360
Karnataka,2007-08,48031
Kerala,2007-08,28692
Madhya Pradesh,2007-08,35265
Maharashtra,2007-08,80240
Orissa,2007-08,22844
Punjab,2007-08,26519
Rajasthan,2007-08,37757
Tamil Nadu,2007-08,55748
Uttar Pradesh,2007-08,87304
West Bengal,2007-08,46644
Arunachal Pradesh,2007-08,3068
Assam,2007-08,15150
Himachal Pradesh,2007-08,10614
Jammu and Kashmir,2007-08,17046
Manipur,2007-08,3720
Meghalaya,2007-08,2771
Mizoram,2007-08,2559
Nagaland,2007-08,3563
Sikkim,2007-08,2820
Tripura,2007-08,3835
Uttarakhand,2007-08,9975
NCT Delhi,2007-08,18160
Puducherry,2007-08,2588
Andhra Pradesh,2008-09(RE),90228
Bihar,2008-09(RE),45508
Chhattisgarh,2008-09(RE),20234
Goa,2008-09(RE),4881
Gujarat,2008-09(RE),52800
Haryana,2008-09(RE),26826
Jharkhand,2008-09(RE),20641
Karnataka,2008-09(RE),54178
Kerala,2008-09(RE),32990
Madhya Pradesh,2008-09(RE),42239
Maharashtra,2008-09(RE),102557
Orissa,2008-09(RE),31375
Punjab,2008-09(RE),32812
Rajasthan,2008-09(RE),43459
Tamil Nadu,2008-09(RE),68297
Uttar Pradesh,2008-09(RE),109185
West Bengal,2008-09(RE),63608
Arunachal Pradesh,2008-09(RE),4874
Assam,2008-09(RE),26389
Himachal Pradesh,2008-09(RE),12931
Jammu and Kashmir,2008-09(RE),18750
Manipur,2008-09(RE),4742
Meghalaya,2008-09(RE),3973
Mizoram,2008-09(RE),3199
Nagaland,2008-09(RE),4389
Sikkim,2008-09(RE),3395
Tripura,2008-09(RE),5122
Uttarakhand,2008-09(RE),10841
NCT Delhi,2008-09(RE),21118
Puducherry,2008-09(RE),3681
Andhra Pradesh,2009-10(BE),100990
Bihar,2009-10(BE),47446
Chhattisgarh,2009-10(BE),22820
Goa,2009-10(BE),5719
Gujarat,2009-10(BE),57417
Haryana,2009-10(BE),32445
Jharkhand,2009-10(BE),22992
Karnataka,2009-10(BE),61064
Kerala,2009-10(BE),36031
