State,Year,Value
Gujarat,2008-09(RE),-269
Haryana,2008-09(RE),-55
Jharkhand,2008-09(RE),-628
Karnataka,2008-09(RE),-767
Kerala,2008-09(RE),3729
Madhya Pradesh,2008-09(RE),-3170
Maharashtra,2008-09(RE),-4263
Orissa,2008-09(RE),-760
Punjab,2008-09(RE),3812
Rajasthan,2008-09(RE),283
Tamil Nadu,2008-09(RE),-8
Uttar Pradesh,2008-09(RE),-4106
West Bengal,2008-09(RE),12678
Arunachal Pradesh,2008-09(RE),-770
Assam,2008-09(RE),-1886
Himachal Pradesh,2008-09(RE),-331
Jammu and Kashmir,2008-09(RE),-3364
Manipur,2008-09(RE),-1128
Meghalaya,2008-09(RE),-522
Mizoram,2008-09(RE),-239
Nagaland,2008-09(RE),-368
Sikkim,2008-09(RE),-592
Tripura,2008-09(RE),-743
Uttarakhand,2008-09(RE),-600
NCT Delhi,2008-09(RE),-3612
Puducherry,2008-09(RE),714
Andhra Pradesh,2009-10(BE),-2407
Bihar,2009-10(BE),-6122
Chhattisgarh,2009-10(BE),-806
Goa,2009-10(BE),348
Gujarat,2009-10(BE),3913
Haryana,2009-10(BE),3384
Jharkhand,2009-10(BE),277
Karnataka,2009-10(BE),-1151
Kerala,2009-10(BE),3008
Madhya Pradesh,2009-10(BE),-1699
Maharashtra,2009-10(BE),7123
Orissa,2009-10(BE),2369
Punjab,2009-10(BE),6234
Rajasthan,2009-10(BE),1409
Tamil Nadu,2009-10(BE),1024
Uttar Pradesh,2009-10(BE),-1573
West Bengal,2009-10(BE),17940
Arunachal Pradesh,2009-10(BE),350
Assam,2009-10(BE),6206
Himachal Pradesh,2009-10(BE),-257
Jammu and Kashmir,2009-10(BE),-4636
Manipur,2009-10(BE),-949
Meghalaya,2009-10(BE),-218
Mizoram,2009-10(BE),-178
Nagaland,2009-10(BE),-740
Sikkim,2009-10(BE),-422
Tripura,2009-10(BE),-347
Uttarakhand,2009-10(BE),213
NCT Delhi,2009-10(BE),-5396
Puducherry,2009-10(BE),127
