State,Year,Value
Uttarakhand,1997-98,–
NCT Delhi,1997-98,2322
Puducherry,1997-98,–
Andhra Pradesh,1998-99,16944
Bihar,1998-99,10623
Chhattisgarh,1998-99,–
Goa,1998-99,1288
Gujarat,1998-99,15606
Haryana,1998-99,7019
Jharkhand,1998-99,–
Karnataka,1998-99,12446
Kerala,1998-99,9228
Madhya Pradesh,1998-99,14218
Maharashtra,1998-99,25663
Orissa,1998-99,6819
Punjab,1998-99,8384
Rajasthan,1998-99,11576
Tamil Nadu,1998-99,17697
Uttar Pradesh,1998-99,26075
West Bengal,1998-99,14243
Arunachal Pradesh,1998-99,747
Assam,1998-99,4416
Himachal Pradesh,1998-99,3334
Jammu and Kashmir,1998-99,4909
Manipur,1998-99,789
Meghalaya,1998-99,815
Mizoram,1998-99,691
Nagaland,1998-99,1049
Sikkim,1998-99,1496
Tripura,1998-99,1176
Uttarakhand,1998-99,–
NCT Delhi,1998-99,2840
Puducherry,1998-99,–
Andhra Pradesh,1999-00,18038
Bihar,1999-00,16128
Chhattisgarh,1999-00,–
Goa,1999-00,1437
Gujarat,1999-00,17517
Haryana,1999-00,6952
Jharkhand,1999-00,–
Karnataka,1999-00,15232
Kerala,1999-00,11566
Madhya Pradesh,1999-00,16136
Maharashtra,1999-00,29538
Orissa,1999-00,8459
Punjab,1999-00,10195
Rajasthan,1999-00,13430
Tamil Nadu,1999-00,20728
Uttar Pradesh,1999-00,28748
West Bengal,1999-00,19498
Arunachal Pradesh,1999-00,821
Assam,1999-00,5846
Himachal Pradesh,1999-00,3822
Jammu and Kashmir,1999-00,6055
Manipur,1999-00,1357
Meghalaya,1999-00,928
Mizoram,1999-00,894
Nagaland,1999-00,1180
Sikkim,1999-00,1510
Tripura,1999-00,1461
Uttarakhand,1999-00,–
NCT Delhi,1999-00,3523
Puducherry,1999-00,–
Andhra Pradesh,2000-01,23070
Bihar,2000-01,14345
Chhattisgarh,2000-01,1612
Goa,2000-01,1709
Gujarat,2000-01,22041
Haryana,2000-01,7181
Jharkhand,2000-01,–
Karnataka,2000-01,16685
Kerala,2000-01,11878
Madhya Pradesh,2000-01,14986
Maharashtra,2000-01,37401
Orissa,2000-01,8829
Punjab,2000-01,11713
Rajasthan,2000-01,15035
Tamil Nadu,2000-01,21752
Uttar Pradesh,2000-01,31033
West Bengal,2000-01,22104
Arunachal Pradesh,2000-01,909
Assam,2000-01,6417
Himachal Pradesh,2000-01,4376
Jammu and Kashmir,2000-01,6685
Manipur,2000-01,1131
Meghalaya,2000-01,1080
Mizoram,2000-01,1022
Nagaland,2000-01,1420
Sikkim,2000-01,763
Tripura,2000-01,1734
Uttarakhand,2000-01,914
NCT Delhi,2000-01,3697
Puducherry,2000-01,–
Andhra Pradesh,2001-02,24726
Bihar,2001-02,12560
Chhattisgarh,2001-02,4914
Goa,2001-02,2101
Gujarat,2001-02,22718
Haryana,2001-02,8657
Jharkhand,2001-02,5999
Karnataka,2001-02,18606
Kerala,2001-02,11662
Madhya Pradesh,2001-02,14369
Maharashtra,2001-02,38282
Orissa,2001-02,9878
Punjab,2001-02,12710
Rajasthan,2001-02,15949
Tamil Nadu,2001-02,21557
Uttar Pradesh,2001-02,31780
West Bengal,2001-02,23395
Arunachal Pradesh,2001-02,1030
Assam,2001-02,6846
Himachal Pradesh,2001-02,4576
Jammu and Kashmir,2001-02,6123
Manipur,2001-02,1338
Meghalaya,2001-02,1157
Mizoram,2001-02,1128
Nagaland,2001-02,1451
Sikkim,2001-02,1664
Tripura,2001-02,1813
Uttarakhand,2001-02,2833
NCT Delhi,2001-02,5044
Puducherry,2001-02,–
Andhra Pradesh,2002-03,26057
Bihar,2002-03,14025
Chhattisgarh,2002-03,5530
Goa,2002-03,2000
Gujarat,2002-03,21440
Haryana,2002-03,9342
Jharkhand,2002-03,7737
Karnataka,2002-03,18814
