State,Year,Value
Madhya Pradesh,2004-05,7773
Maharashtra,2004-05,30606
Orissa,2004-05,4177
Punjab,2004-05,6945
Rajasthan,2004-05,8415
Tamil Nadu,2004-05,19357
Uttar Pradesh,2004-05,15693
West Bengal,2004-05,9924
Arunachal Pradesh,2004-05,49
Assam,2004-05,2713
Himachal Pradesh,2004-05,1252
Jammu and Kashmir,2004-05,1400
Manipur,2004-05,81
Meghalaya,2004-05,208
Mizoram,2004-05,40
Nagaland,2004-05,78
Sikkim,2004-05,117
Tripura,2004-05,240
Uttarakhand,2004-05,1444
NCT Delhi,2004-05,7106
Puducherry,2004-05,–
Andhra Pradesh,2005-06,19207
Bihar,2005-06,3561
Chhattisgarh,2005-06,4052
Goa,2005-06,1096
Gujarat,2005-06,15698
Haryana,2005-06,9079
Jharkhand,2005-06,2888
Karnataka,2005-06,18632
Kerala,2005-06,9779
Madhya Pradesh,2005-06,9115
Maharashtra,2005-06,33540
Orissa,2005-06,5002
Punjab,2005-06,8989
Rajasthan,2005-06,9880
Tamil Nadu,2005-06,23326
Uttar Pradesh,2005-06,18858
West Bengal,2005-06,10388
Arunachal Pradesh,2005-06,62
Assam,2005-06,3232
Himachal Pradesh,2005-06,1497
Jammu and Kashmir,2005-06,1689
Manipur,2005-06,95
Meghalaya,2005-06,253
Mizoram,2005-06,55
Nagaland,2005-06,106
Sikkim,2005-06,147
Tripura,2005-06,296
Uttarakhand,2005-06,1785
NCT Delhi,2005-06,8939
Puducherry,2005-06,479
Andhra Pradesh,2006-07,23926
Bihar,2006-07,4033
Chhattisgarh,2006-07,5046
Goa,2006-07,1292
Gujarat,2006-07,18465
Haryana,2006-07,10928
Jharkhand,2006-07,3128
Karnataka,2006-07,23301
Kerala,2006-07,11942
Madhya Pradesh,2006-07,10473
Maharashtra,2006-07,40099
Orissa,2006-07,6065
Punjab,2006-07,9017
Rajasthan,2006-07,11608
Tamil Nadu,2006-07,27771
Uttar Pradesh,2006-07,22998
West Bengal,2006-07,11695
Arunachal Pradesh,2006-07,78
Assam,2006-07,3483
Himachal Pradesh,2006-07,1656
Jammu and Kashmir,2006-07,1903
Manipur,2006-07,122
Meghalaya,2006-07,305
Mizoram,2006-07,68
Nagaland,2006-07,119
Sikkim,2006-07,173
Tripura,2006-07,342
Uttarakhand,2006-07,2514
NCT Delhi,2006-07,10156
Puducherry,2006-07,570
Andhra Pradesh,2007-08,28794
Bihar,2007-08,5086
Chhattisgarh,2007-08,5618
Goa,2007-08,1359
Gujarat,2007-08,21886
Haryana,2007-08,11618
Jharkhand,2007-08,3550
Karnataka,2007-08,25987
Kerala,2007-08,13669
Madhya Pradesh,2007-08,12018
Maharashtra,2007-08,47528
Orissa,2007-08,6856
Punjab,2007-08,9899
Rajasthan,2007-08,13275
Tamil Nadu,2007-08,29619
Uttar Pradesh,2007-08,24959
West Bengal,2007-08,13126
Arunachal Pradesh,2007-08,98
Assam,2007-08,3360
Himachal Pradesh,2007-08,1958
Jammu and Kashmir,2007-08,2299
Manipur,2007-08,147
Meghalaya,2007-08,319
Mizoram,2007-08,78
Nagaland,2007-08,131
Sikkim,2007-08,198
Tripura,2007-08,371
Uttarakhand,2007-08,2739
NCT Delhi,2007-08,11783
Puducherry,2007-08,653
Andhra Pradesh,2008-09(RE),35740
Bihar,2008-09(RE),6356
Chhattisgarh,2008-09(RE),6328
Goa,2008-09(RE),1738
Gujarat,2008-09(RE),24194
Haryana,2008-09(RE),14301
Jharkhand,2008-09(RE),5084
Karnataka,2008-09(RE),28765
Kerala,2008-09(RE),15934
Madhya Pradesh,2008-09(RE),14002
Maharashtra,2008-09(RE),50088
Orissa,2008-09(RE),7672
Punjab,2008-09(RE),11547
Rajasthan,2008-09(RE),15134
Tamil Nadu,2008-09(RE),34521
Uttar Pradesh,2008-09(RE),29191
West Bengal,2008-09(RE),16223
Arunachal Pradesh,2008-09(RE),99
Assam,2008-09(RE),4039
Himachal Pradesh,2008-09(RE),2301
Jammu and Kashmir,2008-09(RE),2693
Manipur,2008-09(RE),160
Meghalaya,2008-09(RE),385
Mizoram,2008-09(RE),95
Nagaland,2008-09(RE),149
Sikkim,2008-09(RE),162
Tripura,2008-09(RE),451
Uttarakhand,2008-09(RE),3054
NCT Delhi,2008-09(RE),12523
Puducherry,2008-09(RE),726
Andhra Pradesh,2009-10(BE),40664
Bihar,2009-10(BE),7336
Chhattisgarh,2009-10(BE),7030
Goa,2009-10(BE),1861
Gujarat,2009-10(BE),25450
Haryana,2009-10(BE),14647
Jharkhand,2009-10(BE),6052
Karnataka,2009-10(BE),32721
Kerala,2009-10(BE),18228
Madhya Pradesh,2009-10(BE),16075
Maharashtra,2009-10(BE),50986
Orissa,2009-10(BE),8200
Punjab,2009-10(BE),14062
Rajasthan,2009-10(BE),16742
Tamil Nadu,2009-10(BE),38578
Uttar Pradesh,2009-10(BE),33456
West Bengal,2009-10(BE),19476
Arunachal Pradesh,2009-10(BE),109
Assam,2009-10(BE),4028
Himachal Pradesh,2009-10(BE),2700
Jammu and Kashmir,2009-10(BE),3011
Manipur,2009-10(BE),182
Meghalaya,2009-10(BE),404
Mizoram,2009-10(BE),116
Nagaland,2009-10(BE),156
Sikkim,2009-10(BE),177
Tripura,2009-10(BE),546
Uttarakhand,2009-10(BE),3529
NCT Delhi,2009-10(BE),13586
Puducherry,2009-10(BE),906
