State,Year,Value
Jharkhand,1997-98,–
Karnataka,1997-98,1710
Kerala,1997-98,1577
Madhya Pradesh,1997-98,2498
Maharashtra,1997-98,4779
Orissa,1997-98,1318
Punjab,1997-98,1636
Rajasthan,1997-98,3699
Tamil Nadu,1997-98,2383
Uttar Pradesh,1997-98,4431
West Bengal,1997-98,2235
Arunachal Pradesh,1997-98,307
Assam,1997-98,984
Himachal Pradesh,1997-98,754
Jammu and Kashmir,1997-98,1414
Manipur,1997-98,335
Meghalaya,1997-98,166
Mizoram,1997-98,208
Nagaland,1997-98,226
Sikkim,1997-98,136
Tripura,1997-98,290
Uttarakhand,1997-98,–
NCT Delhi,1997-98,1889
Puducherry,1997-98,–
Andhra Pradesh,1998-99,5014
Bihar,1998-99,1549
Chhattisgarh,1998-99,–
Goa,1998-99,170
Gujarat,1998-99,3566
Haryana,1998-99,1562
Jharkhand,1998-99,–
Karnataka,1998-99,2440
Kerala,1998-99,1383
Madhya Pradesh,1998-99,1751
Maharashtra,1998-99,4654
Orissa,1998-99,1823
Punjab,1998-99,2578
Rajasthan,1998-99,2739
Tamil Nadu,1998-99,2182
Uttar Pradesh,1998-99,5388
West Bengal,1998-99,2910
Arunachal Pradesh,1998-99,257
Assam,1998-99,788
Himachal Pradesh,1998-99,833
Jammu and Kashmir,1998-99,940
Manipur,1998-99,327
Meghalaya,1998-99,192
Mizoram,1998-99,202
Nagaland,1998-99,441
Sikkim,1998-99,126
Tripura,1998-99,355
Uttarakhand,1998-99,–
NCT Delhi,1998-99,2103
Puducherry,1998-99,–
Andhra Pradesh,1999-00,4729
Bihar,1999-00,3420
Chhattisgarh,1999-00,–
Goa,1999-00,178
Gujarat,1999-00,3948
Haryana,1999-00,1407
Jharkhand,1999-00,–
Karnataka,1999-00,2587
Kerala,1999-00,1334
Madhya Pradesh,1999-00,1822
Maharashtra,1999-00,8705
Orissa,1999-00,1661
Punjab,1999-00,1784
Rajasthan,1999-00,2827
Tamil Nadu,1999-00,1899
Uttar Pradesh,1999-00,5868
West Bengal,1999-00,3179
Arunachal Pradesh,1999-00,277
Assam,1999-00,1240
Himachal Pradesh,1999-00,892
Jammu and Kashmir,1999-00,1053
Manipur,1999-00,423
Meghalaya,1999-00,268
Mizoram,1999-00,266
Nagaland,1999-00,315
Sikkim,1999-00,110
Tripura,1999-00,312
Uttarakhand,1999-00,–
NCT Delhi,1999-00,2389
Puducherry,1999-00,–
Andhra Pradesh,2000-01,5049
Bihar,2000-01,2601
