State,Year,Value
West Bengal,1994-95,3827
Arunachal Pradesh,1994-95,217
Assam,1994-95,1538
Himachal Pradesh,1994-95,731
Jammu and Kashmir,1994-95,1047
Manipur,1994-95,241
Meghalaya,1994-95,216
Mizoram,1994-95,239
Nagaland,1994-95,299
Sikkim,1994-95,101
Tripura,1994-95,383
Uttarakhand,1994-95,–
NCT Delhi,1994-95,1155
Puducherry,1994-95,–
Andhra Pradesh,1995-96,5507
Bihar,1995-96,3796
Chhattisgarh,1995-96,–
Goa,1995-96,257
Gujarat,1995-96,3666
Haryana,1995-96,1698
Jharkhand,1995-96,–
Karnataka,1995-96,3995
Kerala,1995-96,2691
Madhya Pradesh,1995-96,4416
Maharashtra,1995-96,8361
Orissa,1995-96,2188
Punjab,1995-96,1767
Rajasthan,1995-96,3912
Tamil Nadu,1995-96,5145
Uttar Pradesh,1995-96,6466
West Bengal,1995-96,4097
Arunachal Pradesh,1995-96,263
Assam,1995-96,1815
Himachal Pradesh,1995-96,881
Jammu and Kashmir,1995-96,1223
Manipur,1995-96,307
Meghalaya,1995-96,288
Mizoram,1995-96,292
Nagaland,1995-96,364
Sikkim,1995-96,151
Tripura,1995-96,429
Uttarakhand,1995-96,–
NCT Delhi,1995-96,1365
Puducherry,1995-96,–
Andhra Pradesh,1996-97,6284
Bihar,1996-97,4014
Chhattisgarh,1996-97,–
Goa,1996-97,292
Gujarat,1996-97,4068
Haryana,1996-97,1628
Jharkhand,1996-97,–
Karnataka,1996-97,4526
Kerala,1996-97,3215
Madhya Pradesh,1996-97,5267
Maharashtra,1996-97,9195
Orissa,1996-97,2467
Punjab,1996-97,1231
Rajasthan,1996-97,4324
Tamil Nadu,1996-97,6210
Uttar Pradesh,1996-97,7693
West Bengal,1996-97,4991
Arunachal Pradesh,1996-97,317
Assam,1996-97,1708
Himachal Pradesh,1996-97,994
Jammu and Kashmir,1996-97,1393
Manipur,1996-97,384
Meghalaya,1996-97,314
Mizoram,1996-97,343
Nagaland,1996-97,353
Sikkim,1996-97,166
Tripura,1996-97,517
Uttarakhand,1996-97,–
NCT Delhi,1996-97,1714
Puducherry,1996-97,–
Andhra Pradesh,1997-98,6759
Bihar,1997-98,4375
Chhattisgarh,1997-98,–
Goa,1997-98,350
Gujarat,1997-98,4953
Haryana,1997-98,1829
Jharkhand,1997-98,–
Karnataka,1997-98,4886
Kerala,1997-98,4239
Madhya Pradesh,1997-98,5622
Maharashtra,1997-98,10609
Orissa,1997-98,2636
Punjab,1997-98,2242
Rajasthan,1997-98,4697
Tamil Nadu,1997-98,6654
Uttar Pradesh,1997-98,9080
West Bengal,1997-98,5180
Arunachal Pradesh,1997-98,334
Assam,1997-98,1892
Himachal Pradesh,1997-98,1242
Jammu and Kashmir,1997-98,1623
Manipur,1997-98,416
Meghalaya,1997-98,338
Mizoram,1997-98,320
Nagaland,1997-98,370
Sikkim,1997-98,188
Tripura,1997-98,594
Uttarakhand,1997-98,–
NCT Delhi,1997-98,2043
Puducherry,1997-98,–
Andhra Pradesh,1998-99,8927
Bihar,1998-99,5354
Chhattisgarh,1998-99,–
Goa,1998-99,415
Gujarat,1998-99,6609
Haryana,1998-99,2474
Jharkhand,1998-99,–
Karnataka,1998-99,5851
Kerala,1998-99,4660
Madhya Pradesh,1998-99,6887
Maharashtra,1998-99,11407
Orissa,1998-99,3246
Punjab,1998-99,3054
Rajasthan,1998-99,5953
Tamil Nadu,1998-99,8153
Uttar Pradesh,1998-99,10477
West Bengal,1998-99,6626
Arunachal Pradesh,1998-99,332
Assam,1998-99,2151
Himachal Pradesh,1998-99,1553
Jammu and Kashmir,1998-99,1496
Manipur,1998-99,391
Meghalaya,1998-99,390
Mizoram,1998-99,379
Nagaland,1998-99,415
Sikkim,1998-99,254
Tripura,1998-99,673
Uttarakhand,1998-99,–
NCT Delhi,1998-99,2245
Puducherry,1998-99,–
Andhra Pradesh,1999-00,8831
Bihar,1999-00,8338
Chhattisgarh,1999-00,–
Goa,1999-00,470
Gujarat,1999-00,7571
Haryana,1999-00,2572
Jharkhand,1999-00,–
Karnataka,1999-00,6803
Kerala,1999-00,5432
Madhya Pradesh,1999-00,7417
Maharashtra,1999-00,12844
Orissa,1999-00,4889
Punjab,1999-00,2724
Rajasthan,1999-00,6377
Tamil Nadu,1999-00,8862
Uttar Pradesh,1999-00,11669
West Bengal,1999-00,9338
Arunachal Pradesh,1999-00,372
Assam,1999-00,2640
Himachal Pradesh,1999-00,1701
Jammu and Kashmir,1999-00,1726
Manipur,1999-00,605
Meghalaya,1999-00,502
Mizoram,1999-00,506
Nagaland,1999-00,479
Sikkim,1999-00,245
Tripura,1999-00,776
Uttarakhand,1999-00,–
NCT Delhi,1999-00,2461
Puducherry,1999-00,–
Andhra Pradesh,2000-01,10006
Bihar,2000-01,7408
Chhattisgarh,2000-01,968
Goa,2000-01,518
Gujarat,2000-01,9681
Haryana,2000-01,3387
